benchmark,clf_name,train_roc,train_prn,test_roc,test_prn
wine_benchmark_0013.csv,KNN,0.5207,0.4613,0.5215,0.4875
wine_benchmark_0013.csv,IForest,0.5119,0.4209,0.5329,0.5294
wine_benchmark_0013.csv,HBOS,0.5083,0.404,0.5353,0.5269
wine_benchmark_0013.csv,LOF,0.5134,0.4276,0.5173,0.4789
wine_benchmark_0013.csv,CBLOF,0.5178,0.4478,0.5305,0.5244
wine_benchmark_0014.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0014.csv,KNN,0.5275,0.4916,0.5154,0.4419
wine_benchmark_0014.csv,IForest,0.5136,0.4276,0.5003,0.3804
wine_benchmark_0014.csv,HBOS,0.5136,0.4276,0.5233,0.4762
wine_benchmark_0014.csv,LOF,0.5158,0.4377,0.5058,0.4023
wine_benchmark_0014.csv,CBLOF,0.5224,0.468,0.5062,0.4048
wine_benchmark_0015.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0015.csv,KNN,0.5214,0.4646,0.5065,0.3924
wine_benchmark_0015.csv,IForest,0.5127,0.4242,0.512,0.4146
wine_benchmark_0015.csv,HBOS,0.5221,0.468,0.5221,0.4494
wine_benchmark_0015.csv,LOF,0.5221,0.468,0.5072,0.3951
wine_benchmark_0015.csv,CBLOF,0.5178,0.4478,0.498,0.3563
wine_benchmark_0016.csv,ABOD,0.5045,0.3906,0.5145,0.4507
wine_benchmark_0016.csv,KNN,0.5139,0.4343,0.5174,0.4648
wine_benchmark_0016.csv,IForest,0.5059,0.3973,0.5004,0.381
wine_benchmark_0016.csv,HBOS,0.5117,0.4242,0.5039,0.4
wine_benchmark_0016.csv,LOF,0.5045,0.3906,0.5117,0.4366
wine_benchmark_0016.csv,CBLOF,0.5132,0.431,0.497,0.3649
wine_benchmark_0017.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0017.csv,KNN,0.5169,0.4343,0.5297,0.5156
wine_benchmark_0017.csv,IForest,0.5037,0.3737,0.5244,0.4783
wine_benchmark_0017.csv,HBOS,0.5066,0.3872,0.5165,0.4366
wine_benchmark_0017.csv,LOF,0.5184,0.4411,0.5251,0.473
wine_benchmark_0017.csv,CBLOF,0.5088,0.3973,0.511,0.4051
wine_benchmark_0018.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0018.csv,KNN,0.5286,0.4781,0.5098,0.4133
wine_benchmark_0018.csv,IForest,0.5237,0.4561,0.5241,0.4651
wine_benchmark_0018.csv,HBOS,0.5197,0.4377,0.5221,0.4675
wine_benchmark_0018.csv,LOF,0.5257,0.4646,0.5069,0.4
wine_benchmark_0018.csv,CBLOF,0.5227,0.4512,0.5076,0.4026
wine_benchmark_0019.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0019.csv,KNN,0.5279,0.4983,0.5361,0.5342
wine_benchmark_0019.csv,IForest,0.5156,0.4411,0.538,0.5714
wine_benchmark_0019.csv,HBOS,0.5105,0.4175,0.5305,0.4938
wine_benchmark_0019.csv,LOF,0.5265,0.4916,0.5329,0.5132
wine_benchmark_0019.csv,CBLOF,0.517,0.4478,0.5332,0.5484
wine_benchmark_0020.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0020.csv,KNN,0.5206,0.468,0.5128,0.4375
wine_benchmark_0020.csv,IForest,0.5112,0.4242,0.5232,0.4737
wine_benchmark_0020.csv,HBOS,0.5191,0.4613,0.5287,0.4937
wine_benchmark_0020.csv,LOF,0.5235,0.4815,0.5043,0.3889
wine_benchmark_0020.csv,CBLOF,0.5148,0.4411,0.5217,0.4722
wine_benchmark_0021.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0021.csv,KNN,0.5153,0.4512,0.5242,0.4737
wine_benchmark_0021.csv,IForest,0.5138,0.4444,0.5282,0.4933
wine_benchmark_0021.csv,HBOS,0.5095,0.4242,0.5237,0.4634
wine_benchmark_0021.csv,LOF,0.5148,0.4493,0.5369,0.5116
wine_benchmark_0021.csv,CBLOF,0.5167,0.4579,0.5149,0.4366
wine_benchmark_0022.csv,ABOD,0.5025,0.3838,0.5041,0.3871
wine_benchmark_0022.csv,KNN,0.5169,0.4512,0.5198,0.5
wine_benchmark_0022.csv,IForest,0.5068,0.404,0.5123,0.4265
wine_benchmark_0022.csv,HBOS,0.5042,0.3919,0.5088,0.4054
wine_benchmark_0022.csv,LOF,0.5191,0.4613,0.4994,0.36
wine_benchmark_0022.csv,CBLOF,0.5176,0.4545,0.5189,0.4746
wine_benchmark_0023.csv,ABOD,0.5151,0.4478,0.5076,0.3867
wine_benchmark_0023.csv,KNN,0.5237,0.4882,0.5116,0.4054
wine_benchmark_0023.csv,IForest,0.5201,0.4714,0.4967,0.3377
wine_benchmark_0023.csv,HBOS,0.5151,0.4478,0.504,0.3714
wine_benchmark_0023.csv,LOF,0.528,0.5084,0.5195,0.44
wine_benchmark_0023.csv,CBLOF,0.5158,0.4512,0.5009,0.3562
wine_benchmark_0024.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0024.csv,KNN,0.5136,0.4209,0.5202,0.4868
wine_benchmark_0024.csv,IForest,0.5143,0.4242,0.5115,0.4382
wine_benchmark_0024.csv,HBOS,0.5209,0.4545,0.5227,0.4881
wine_benchmark_0024.csv,LOF,0.507,0.3906,0.5141,0.4557
wine_benchmark_0024.csv,CBLOF,0.5173,0.4377,0.5096,0.4337
wine_benchmark_0025.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0025.csv,KNN,0.5184,0.4545,0.5169,0.4627
wine_benchmark_0025.csv,IForest,0.5184,0.4545,0.5237,0.4865
wine_benchmark_0025.csv,HBOS,0.5162,0.4444,0.5201,0.4722
wine_benchmark_0025.csv,LOF,0.5155,0.4411,0.5331,0.5263
wine_benchmark_0025.csv,CBLOF,0.5141,0.4343,0.5176,0.4545
wine_benchmark_0026.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0026.csv,KNN,0.5269,0.4983,0.4993,0.3855
wine_benchmark_0026.csv,IForest,0.5171,0.4527,0.5023,0.3977
wine_benchmark_0026.csv,HBOS,0.5183,0.4579,0.5161,0.4615
wine_benchmark_0026.csv,LOF,0.5255,0.4916,0.495,0.3649
wine_benchmark_0026.csv,CBLOF,0.5147,0.4411,0.4941,0.3625
wine_benchmark_0027.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0027.csv,KNN,0.5164,0.4444,0.5248,0.4533
wine_benchmark_0027.csv,IForest,0.5043,0.3885,0.506,0.3714
wine_benchmark_0027.csv,HBOS,0.5106,0.4175,0.5188,0.4267
wine_benchmark_0027.csv,LOF,0.5152,0.4392,0.5358,0.5
wine_benchmark_0027.csv,CBLOF,0.512,0.4242,0.5357,0.4937
wine_benchmark_0028.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0028.csv,KNN,0.5239,0.4916,0.5009,0.375
wine_benchmark_0028.csv,IForest,0.5138,0.4444,0.5147,0.4462
wine_benchmark_0028.csv,HBOS,0.5153,0.4512,0.5201,0.4706
wine_benchmark_0028.csv,LOF,0.5267,0.5051,0.4988,0.36
wine_benchmark_0028.csv,CBLOF,0.5234,0.4899,0.5108,0.4364
wine_benchmark_0029.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0029.csv,KNN,0.5294,0.4714,0.5022,0.3649
wine_benchmark_0029.csv,IForest,0.5128,0.3973,0.5045,0.3768
wine_benchmark_0029.csv,HBOS,0.5113,0.3906,0.497,0.3387
wine_benchmark_0029.csv,LOF,0.5158,0.4108,0.4971,0.3421
wine_benchmark_0029.csv,CBLOF,0.5196,0.4276,0.504,0.377
wine_benchmark_0030.csv,ABOD,0.5083,0.4074,0.5169,0.4444
wine_benchmark_0030.csv,KNN,0.5221,0.4714,0.5504,0.5696
wine_benchmark_0030.csv,IForest,0.5214,0.468,0.5141,0.4333
wine_benchmark_0030.csv,HBOS,0.5156,0.4411,0.5139,0.4125
wine_benchmark_0030.csv,LOF,0.5137,0.4324,0.5197,0.4545
wine_benchmark_0030.csv,CBLOF,0.5141,0.4343,0.5386,0.5645
wine_benchmark_0031.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0031.csv,KNN,0.5156,0.4343,0.5148,0.4384
wine_benchmark_0031.csv,IForest,0.517,0.4411,0.5095,0.4103
wine_benchmark_0031.csv,HBOS,0.509,0.404,0.5023,0.378
wine_benchmark_0031.csv,LOF,0.5148,0.431,0.5122,0.4286
wine_benchmark_0031.csv,CBLOF,0.5141,0.4276,0.4974,0.3562
wine_benchmark_0032.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0032.csv,KNN,0.5233,0.4613,0.503,0.3788
wine_benchmark_0032.csv,IForest,0.5189,0.4411,0.5131,0.4247
wine_benchmark_0032.csv,HBOS,0.5159,0.4276,0.5134,0.4286
wine_benchmark_0032.csv,LOF,0.5233,0.4613,0.5155,0.4304
wine_benchmark_0032.csv,CBLOF,0.5145,0.4209,0.498,0.3529
wine_benchmark_0033.csv,ABOD,0.5086,0.4108,0.5023,0.3953
